group,companies,valid_observations,ten_year_median,weighted_margin,q25,q75,iqr,average_median_2015_2019,average_median_2020_2022,median_2022,median_2023,median_2024,change_2022_2023_pp,recovery_2023_2024_pp,revenue_cagr_2015_2024_pct,revenue_change_2022_2023_pct
EDA Software,2,20,40.8,40.05698860227954,38.75,41.675,2.924999999999997,40.6,40.81666666666666,40.849999999999994,38.3,39.099999999999994,-2.549999999999997,0.7999999999999972,11.146240064356117,16.78657074340528
Foundry,6,60,39.650000000000006,39.89840401499518,38.0,41.15,3.1499999999999986,39.480000000000004,39.93333333333333,39.349999999999994,37.9,38.8,-1.4499999999999957,0.8999999999999986,12.25704085050392,-11.870623541180391
Equipment,6,60,30.700000000000003,31.39560231946403,27.225,35.175,7.949999999999996,31.129999999999995,31.86666666666667,30.700000000000003,29.5,30.5,-1.2000000000000028,1.0,13.75332284869697,7.7010076084721435
Fabless,12,89,26.7,34.9240545437845,18.2,30.5,12.3,28.9,25.166666666666668,23.700000000000003,17.6,24.5,-6.100000000000001,6.899999999999999,19.654522352601656,14.577278305238007
IDM,14,135,26.3,26.59189580318379,19.6,40.2,20.6,25.99,35.21666666666666,33.2,22.2,27.6,-11.000000000000004,5.400000000000002,6.369803144524555,-19.027344119595035
